date,LIC,LMC,UMC,HIC
15jul2022,13.53,53.98,77.260002,73.279999
16jul2022,13.53,53.990002,77.269997,73.290001
17jul2022,13.73,54.099998,77.269997,73.290001
18jul2022,13.75,54.130001,77.269997,73.300003
19jul2022,13.92,54.18,77.279999,73.300003
20jul2022,13.92,54.189999,77.379997,73.309998
21jul2022,13.92,54.240002,77.379997,73.32
22jul2022,13.92,54.27,77.410004,73.32
23jul2022,13.92,54.279999,77.410004,73.330002
24jul2022,13.97,54.349998,77.43,73.330002
25jul2022,13.99,54.369999,77.43,73.339996
26jul2022,13.99,54.389999,77.43,73.339996
27jul2022,14.05,54.419998,77.489998,73.349998
28jul2022,14.05,54.439999,77.489998,73.360001
29jul2022,14.05,54.459999,77.489998,73.360001
